ID;ArriveeSysteme;TempsPresence;SortieSysteme
1;343,2679;298,9594;642,2273
4;1478,3320;31,1325;1509,4645
5;1504,2257;6,0642;1510,2898
6;1658,7218;19,3288;1678,0506
7;1674,7342;16,4305;1691,1647
2;514,6402;1410,4355;1925,0757
8;2252,7916;0,1353;2252,9269
10;3018,3773;28,7590;3047,1363
11;3312,8567;3,2894;3316,1461
12;3875,9186;2,3972;3878,3157
3;1084,8456;3581,7451;4666,5907
13;4865,2806;25,2468;4890,5275
14;4980,8395;11,3950;4992,2345
9;2771,1348;2596,2456;5367,3804
15;5565,4810;62,4548;5627,9358
16;6817,7251;4,5998;6822,3249
17;7427,3004;2,6679;7429,9683
19;7792,5555;7,7411;7800,2966
18;7701,5046;122,4376;7823,9421
22;8704,8174;2,7716;8707,5890
23;8804,3983;0,5034;8804,9017
24;9048,3891;78,3189;9126,7080
21;8573,9013;930,2237;9504,1250
25;10147,6396;117,3015;10264,9411
20;8219,0048;2058,0505;10277,0554
26;10450,1831;7,3625;10457,5456
27;10893,3918;28,2927;10921,6845
28;12694,1415;244,5773;12938,7188
29;13131,7566;3,7322;13135,4888
30;14057,2325;9,5951;14066,8276
32;14636,5058;1,6451;14638,1509
31;14539,8465;566,7300;15106,5765
36;16566,0056;1548,9845;18114,9901
34;16226,4707;2289,2813;18515,7521
35;16501,2871;2689,4848;19190,7720
37;19215,7235;10,1660;19225,8896
33;15967,6659;3341,5041;19309,1700
38;19734,8423;3,8999;19738,7422
39;19978,1311;6,5259;19984,6569
40;20243,8491;0,9582;20244,8073
43;21093,7473;5,5094;21099,2566
44;21156,0179;30,8636;21186,8815
42;21081,0252;160,5209;21241,5460
46;21460,5869;0,0882;21460,6752
45;21302,3741;357,3268;21659,7009
47;21572,4142;247,9591;21820,3732
48;22354,1713;1,6374;22355,8088
41;20820,5796;1640,4072;22460,9868
52;24679,0303;14,2907;24693,3210
53;24704,4770;5,8133;24710,2903
50;24150,0584;980,4588;25130,5173
54;25269,6650;1,1737;25270,8388
49;23412,4521;2600,4259;26012,8780
55;26275,4233;24,4943;26299,9176
57;27719,7215;7,9647;27727,6861
51;24416,2238;3413,8957;27830,1195
58;27892,3792;9,5561;27901,9353
59;28138,5349;4,5367;28143,0716
60;29502,5391;303,6896;29806,2287
